[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO] STEP step_002_secondary_spectra STARTED
[2026-05-15 12:58:19] [INFO] Description: Secondary spectrum computation S(τ, f_D)
[2026-05-15 12:58:19] [INFO] Physics: 2D Fourier transform of covariance C(Δt, Δν) = ⟨δI δI⟩
[2026-05-15 12:58:19] [INFO] Method: Vectorized FFT with conjugate symmetry optimization
[2026-05-15 12:58:19] [INFO] ================================================================================
[2026-05-15 12:58:19] [INFO]       Auto-selected 8 FFT worker processes (TEP_WORKERS / TEP_STEP002_MAX_WORKERS override)
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO] ═══ STEP 002: Secondary Spectrum Generation & Arc Detection
[2026-05-15 12:58:19] [INFO] ═══ ======================================================================
[2026-05-15 12:58:19] [INFO]       M4 Pro Optimized Vectorized FFT Parallel: 8 workers
[2026-05-15 12:58:19] [INFO]       Min SNR threshold: 1.5, Sub-bands: 1
[2026-05-15 12:58:19] [INFO]       Processing 10201 J0437 epochs...
[2026-05-15 12:58:21] [INFO]       OK   a051230_092621.rf.pcm: sb0:254al
[2026-05-15 12:58:21] [INFO]       OK   a060104_074153.rf.pcm: sb0:77al
[2026-05-15 12:58:21] [INFO]       OK   a060101_090931.rf.pcm: sb0:300al
[2026-05-15 12:58:21] [INFO]       OK   a060102_123253.rf.pcm: sb0:274al
[2026-05-15 12:58:21] [INFO]       OK   a060131_084003.rf.pcm: sb0:73al
[2026-05-15 12:58:21] [INFO]       OK   a060101_101711.rf.pcm: sb0:334al
[2026-05-15 12:58:21] [INFO]       OK   a060104_085543.rf.pcm: sb0:240al
[2026-05-15 12:58:21] [INFO]       OK   a060104_111453.rf.pcm: sb0:248al
[2026-05-15 12:58:21] [INFO]       OK   a060131_091653.rf.pcm: sb0:272al
[2026-05-15 12:58:21] [INFO]       OK   a060202_071103.rf.pcm: sb0:231al
[2026-05-15 12:58:21] [INFO]       SKIP a060303_054401.rf.pcm: too small (10x512)
[2026-05-15 12:58:21] [INFO]       SKIP a060303_055133.rf.pcm: too small (10x512)
[2026-05-15 12:58:21] [INFO]       SKIP a060303_060132.rf.pcm: too small (10x512)
[2026-05-15 12:58:21] [INFO]       SKIP a060303_060901.rf.pcm: too small (10x512)
[2026-05-15 12:58:21] [INFO]       OK   a060208_133124.rf.pcm: sb0:198al
[2026-05-15 12:58:21] [INFO]       OK   a060212_072433.rf.pcm: sb0:269al
[2026-05-15 12:58:22] [INFO]       OK   a060211_075354.rf.pcm: sb0:282al
[2026-05-15 12:58:22] [INFO]       OK   a060212_133033.rf.pcm: sb0:211al
[2026-05-15 12:58:22] [INFO]       OK   a060211_090333.rf.pcm: sb0:246al
[2026-05-15 12:58:22] [INFO]       OK   a060302_060723.rf.pcm: sb0:255al
[2026-05-15 12:58:22] [INFO]       OK   a060326_030803.rf.pcm: sb0:91al
[2026-05-15 12:58:22] [INFO]       OK   a060302_094523.rf.pcm: sb0:259al
[2026-05-15 12:58:22] [INFO]       OK   a060326_041523.rf.pcm: sb0:65al
[2026-05-15 12:58:22] [INFO]       OK   a060323_044224.rf.pcm: sb0:3al
[2026-05-15 12:58:22] [INFO]       OK   a060322_040153.rf.pcm: sb0:224al
[2026-05-15 12:58:22] [INFO]       OK   a060306_050345.rf.pcm: sb0:240al
[2026-05-15 12:58:22] [INFO]       OK   a060322_054633.rf.pcm: sb0:265al
[2026-05-15 12:58:22] [INFO]       OK   a060323_061924.rf.pcm: sb0:344al
[2026-05-15 12:58:22] [INFO]       OK   a060411_043034.rf.pcm: sb0:100al
[2026-05-15 12:58:22] [INFO]       OK   a060407_030424.rf.pcm: sb0:251al
[2026-05-15 12:58:22] [INFO]       OK   a060408_031823.rf.pcm: sb0:209al
[2026-05-15 12:58:22] [INFO]       OK   a060415_020311.rf.pcm: sb0:152al
[2026-05-15 12:58:22] [INFO]       OK   a060415_035732.rf.pcm: sb0:9al
[2026-05-15 12:58:22] [INFO]       OK   a060409_040843.rf.pcm: sb0:267al
[2026-05-15 12:58:22] [INFO]       OK   a060415_045741.rf.pcm: sb0:80al
