[2026-05-17 16:02:39] [INFO] ================================================================================
[2026-05-17 16:02:39] [INFO] STEP step_003_closure_delays_final STARTED
[2026-05-17 16:02:39] [INFO] Description: Closure delay extraction from arclet triplets (PARALLEL)
[2026-05-17 16:02:39] [INFO] Physics: Measuring holonomy H = ∮ dτ_prop via triangulation
[2026-05-17 16:02:39] [INFO] Method: Parabolic fitting to arclets, parallel epoch processing with ProcessPoolExecutor
[2026-05-17 16:02:39] [INFO] ================================================================================
[2026-05-17 16:02:40] [INFO] ═══ ============================================================
[2026-05-17 16:02:40] [INFO] ═══ TEP-J0437 Step 003: Closure Delay Extraction
[2026-05-17 16:02:40] [INFO] ═══ ============================================================
[2026-05-17 16:02:40] [INFO]       Method: Sub-pixel cross-term measurement Parallel: 12 workers
[2026-05-17 16:02:40] [INFO]       Parameters: max_arclets=12, use_snr_threshold=True, min_snr=5.0
[2026-05-17 16:02:44] [INFO]         [OK] m2003-02-07-06:11:25.rf.pcm_seconda Delta=-0.0090 us
[2026-05-17 16:02:44] [INFO]         [OK] m2003-04-14-06:10:48.rf.pcm_seconda Delta=+0.0612 us
[2026-05-17 16:02:44] [INFO]         [OK] a071003_152409.rf.pcm_secondary     Delta=-0.0012 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-06-06-02:33:11.rf.pcm_seconda Delta=+0.0554 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-01-04-09:28:46.rf.pcm_seconda Delta=-0.0080 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-05-15-02:46:38.rf.pcm_seconda Delta=+0.0125 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-07-20-21:30:16.rf.pcm_seconda Delta=-0.0436 us
[2026-05-17 16:02:45] [INFO]         [OK] a071225_101258.rf.pcm_secondary     Delta=-0.0164 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-01-10-13:42:14.rf.pcm_seconda Delta=+0.0101 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-07-28-19:49:37.rf.pcm_seconda Delta=-0.0096 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-08-31-17:10:53.rf.pcm_seconda Delta=+0.0252 us
[2026-05-17 16:02:45] [INFO]         [OK] a070531_220626.rf.pcm_secondary     Delta=+0.0039 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-11-01-14:04:26.rf.pcm_seconda Delta=+0.0070 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-10-07-19:18:28.rf.pcm_seconda Delta=+0.0090 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-12-18-10:38:41.rf.pcm_seconda Delta=-0.0066 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-12-18-12:02:22.rf.pcm_seconda Delta=+0.0393 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-12-17-12:32:51.rf.pcm_seconda Delta=-0.0084 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-10-08-15:53:07.rf.pcm_seconda Delta=-0.0094 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-11-02-12:25:19.rf.pcm_seconda Delta=-0.0936 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-12-05-13:23:23.rf.pcm_seconda Delta=+0.0107 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-11-02-14:14:57.rf.pcm_seconda Delta=+0.0053 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-04-26-02:35:27.rf.pcm_seconda Delta=-0.0948 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-12-04-16:38:28.rf.pcm_seconda Delta=+0.0078 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-04-23-23:18:06.rf.pcm_seconda Delta=+0.0130 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-02-00:30:44.rf.pcm_seconda Delta=+0.0184 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-04-06:46:44.rf.pcm_seconda Delta=+0.2305 us
[2026-05-17 16:02:45] [INFO]         [OK] m2003-02-09-04:52:28.rf.pcm_seconda Delta=-0.0195 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-02-02:39:10.rf.pcm_seconda Delta=+0.0185 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-04-26-03:42:34.rf.pcm_seconda Delta=+0.0493 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-04-07:52:00.rf.pcm_seconda Delta=+0.0433 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-08-00:34:14.rf.pcm_seconda Delta=-0.1302 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-17-05:01:49.rf.pcm_seconda Delta=-0.0463 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-20-23:28:48.rf.pcm_seconda Delta=+0.0152 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-18-03:50:08.rf.pcm_seconda Delta=+0.2374 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-08-01:38:56.rf.pcm_seconda Delta=+0.1947 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-03-01:28:10.rf.pcm_seconda Delta=-0.0658 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-06-01:52:04.rf.pcm_seconda Delta=+0.1600 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-07-20:28:19.rf.pcm_seconda Delta=-0.0399 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-11-00:01:12.rf.pcm_seconda Delta=+0.0453 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-01-03:21:16.rf.pcm_seconda Delta=+0.1391 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-04-22:55:40.rf.pcm_seconda Delta=+0.1740 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-17-22:47:04.rf.pcm_seconda Delta=+0.0976 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-13-23:05:29.rf.pcm_seconda Delta=-0.0731 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-12-22:45:59.rf.pcm_seconda Delta=-0.1111 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-06-03:08:40.rf.pcm_seconda Delta=+0.0152 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-07-21:01:40.rf.pcm_seconda Delta=+0.2977 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-05-21-03:15:35.rf.pcm_seconda Delta=+0.0448 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-06-10-21:35:20.rf.pcm_seconda Delta=-0.0149 us
[2026-05-17 16:02:45] [INFO]         [OK] m2004-07-16-21:33:31.rf.pcm_seconda Delta=-0.0128 us
